16383,0.0000832000,0.0000005500
32767,0.0002486500,0.0000006500
49151,0.0003851500,0.0000007000
65535,0.0006604500,0.0000007000
81919,0.0012130000,0.0000007000
98303,0.0008198000,0.0000007000
114687,0.0010672000,0.0000007500
131071,0.0017060000,0.0000008500
147455,0.0014388500,0.0000007500
163839,0.0018626500,0.0000008000
180223,0.0017886500,0.0000008000
196607,0.0020922500,0.0000008500
212991,0.0022726500,0.0000008000
229375,0.0029908500,0.0000009500
245759,0.0027516000,0.0000008000
262143,0.0028558000,0.0000009000
278527,0.0028845000,0.0000008500
294911,0.0029405500,0.0000012500
311295,0.0029774000,0.0000007500
327679,0.0031268500,0.0000008500
