3 8 5 23 10 12 
4 11 9 17 
3 8 4 9 10 12 5 11 23 17 
16383,0.0008360000,0.0000060000
32766,0.0031870000,0.0000160000
49149,0.0056200000,0.0000240000
65532,0.0096730000,0.0000350000
81915,0.0139920000,0.0000450000
98298,0.0230680000,0.0000560000
114681,0.0309370000,0.0000700000
131064,0.0375590000,0.0000800000
147447,0.0463310000,0.0000900000
163830,0.0557820000,0.0001000000
180213,0.0678950000,0.0001120000
196596,0.0863580000,0.0001220000
212979,0.1002610000,0.0001330000
229362,0.1145060000,0.0001430000
245745,0.1270150000,0.0001530000
262128,0.1417110000,0.0001640000
278511,0.1611590000,0.0001740000
294894,0.1775680000,0.0001850000
311277,0.1961650000,0.0001960000
327660,0.2154810000,0.0002060000
